snr,rel_error,rel_diff_chirp_mass
26.196804,0.009769876735851085,0.009769876735851085
20.0854,-0.019197556681678038,0.019197556681678038
24.533371,0.01270418524594224,0.01270418524594224
21.26418,-0.02590524033207446,0.02590524033207446
27.40974,-0.03864288624545815,0.03864288624545815
26.921335,0.013811348740607103,0.013811348740607103
25.49349,-0.008221271901987492,0.008221271901987492
23.40619,0.000533261694266118,0.000533261694266118
21.410452,-0.3551064317538925,0.3551064317538925
23.444427,-0.001456555576207041,0.001456555576207041
28.63322,0.004493451717595318,0.004493451717595318
28.319609,-0.0015616696332842654,0.0015616696332842654
23.002623,0.05814858923388485,0.05814858923388485
28.409327,0.006353352186738416,0.006353352186738416
21.454115,0.02491228742463854,0.02491228742463854
29.921904,0.014861716480228495,0.014861716480228495
24.706646,0.025981634434065114,0.025981634434065114
23.695606,0.051472163306721636,0.051472163306721636
22.763083,0.007317144024680977,0.007317144024680977
22.62725,0.015023619322230196,0.015023619322230196
25.085833,0.0019258378439201054,0.0019258378439201054
24.250408,-0.002362943217493607,0.002362943217493607
23.314564,0.012161236904615184,0.012161236904615184
29.206564,-0.0062362197452549995,0.0062362197452549995
29.370432,0.014001310883663812,0.014001310883663812
27.554422,-0.008408443966682088,0.008408443966682088
23.876167,0.02400267586818001,0.02400267586818001
28.874146,0.015830856471686527,0.015830856471686527
25.426064,0.0015480888819248654,0.0015480888819248654
22.469563,0.012780184585043425,0.012780184585043425
24.474844,-0.001689201065659347,0.001689201065659347
22.735043,0.00782530839364403,0.00782530839364403
29.990435,0.03717584135680217,0.03717584135680217
26.096361,-0.10829486253275444,0.10829486253275444
24.103191,0.0092212145971395,0.0092212145971395
22.691633,0.0001915954801466251,0.0001915954801466251
22.98106,0.003917229236082841,0.003917229236082841
29.544422,0.014510912878484909,0.014510912878484909
21.883375,0.01559136350589857,0.01559136350589857
27.550838,0.004549577249193104,0.004549577249193104
26.683912,0.020306807486066992,0.020306807486066992
22.271173,0.01825951065792651,0.01825951065792651
21.17148,0.01114045449658692,0.01114045449658692
25.81272,-0.0025815290131454005,0.0025815290131454005
29.072826,-0.010028404684126094,0.010028404684126094
26.503521,0.006611596642144449,0.006611596642144449
20.345587,0.0016082990102817283,0.0016082990102817283
26.85068,0.003726963085486587,0.003726963085486587
28.084183,-0.00918933304356711,0.00918933304356711
26.064388,-0.04019950448509904,0.04019950448509904
22.89158,0.3261557268049327,0.3261557268049327
28.195631,0.010133875430147954,0.010133875430147954
23.197079,0.017142961203116813,0.017142961203116813
22.567678,-0.0056390127769260995,0.0056390127769260995
25.015911,-0.013930758230205254,0.013930758230205254
26.96757,-0.0439916023134494,0.0439916023134494
20.789942,-0.059803848548184824,0.059803848548184824
22.169508,0.002673478144844033,0.002673478144844033
24.147373,0.004923365584778137,0.004923365584778137
22.075876,0.02182971761395244,0.02182971761395244
29.082933,0.011473115245774467,0.011473115245774467
